id,title,author,genre,rating,releaseDate,pages,description,tags
617714,How to Say Babylon: A Memoir,Safiya Sinclair,Biography,4.53125,2023-01-01,352.0,"Throughout her childhood, Safiya Sinclair’s father, a volatile reggae musician and militant adherent to a strict sect of Rastafari, became obsessed with her purity, in particular, with the threat of what Rastas call Babylon, the immoral and corrupting influences of the Western world outside their home. He worried that womanhood would make Safiya and her sisters morally weak and impure, and believed a woman’s highest virtue was her obedience.

In an effort to keep Babylon outside the gate, he forbade almost everything. In place of pants, the women in her family were made to wear long skirts and dresses to cover their arms and legs, head wraps to cover their hair, no make-up, no jewelry, no opinions, no friends. Safiya’s mother, while loyal to her father, nonetheless gave Safiya and her siblings the gift of books, including poetry, to which Safiya latched on for dear life. And as Safiya watched her mother struggle voicelessly for years under housework and the rigidity of her father’s beliefs, she increasingly used her education as a sharp tool with which to find her voice and break free. Inevitably, with her rebellion comes clashes with her father, whose rage and paranoia explodes in increasing violence. As Safiya’s voice grows, lyrically and poetically, a collision course is set between them.

How to Say Babylon is Sinclair’s reckoning with the culture that initially nourished but ultimately sought to silence her; it is her reckoning with patriarchy and tradition, and the legacy of colonialism in Jamaica. Rich in lyricism and language only a poet could evoke, How to Say Babylon is both a universal story of a woman finding her own power and a unique glimpse into a rarefied world we may know how to name, Rastafari, but one we know little about. --simonandschuster.com","Biography, Biography & Autobiography"
1697265,Machines like Us: Toward AI with Common Sense,Ronald J. Brachman,Unknown,,2022-01-01,320.0,"How we can create artificial intelligence with broad, robust common sense rather than narrow, specialized expertise. It’s sometime in the not-so-distant future, and you send your fully autonomous self-driving car to the store to pick up your grocery order. The car is endowed with as much capability as an artificial intelligence agent can have, programmed to drive better than you do. But when the car encounters a traffic light stuck on red, it just sits there—indefinitely. Its obstacle-avoidance, lane-following, and route-calculation capacities are all irrelevant; it fails to act because it lacks the common sense of a human driver, who would quickly figure out what’s happening and find a workaround. In Machines like Us, Ron Brachman and Hector Levesque—both leading experts in AI—consider what it would take to create machines with common sense rather than just the specialized expertise of today’s AI systems. Using the stuck traffic light and other relatable examples, Brachman and Levesque offer an accessible account of how common sense might be built into a machine. They analyze common sense in humans, explain how AI over the years has focused mainly on expertise, and suggest ways to endow an AI system with both common sense and effective reasoning. Finally, they consider the critical issue of how we can trust an autonomous machine to make decisions, identifying two fundamental requirements for trustworthy autonomous AI systems: having reasons for doing what they do, and being able to accept advice. Both in the end are dependent on having common sense.",
584786,The Adventures of Amina Al-Sirafi,S. A. Chakraborty,Fantasy,4.365248226950355,2010-04-29,307.0,"Shannon Chakraborty, the bestselling author of The City of Brass, spins a new trilogy of magic and mayhem on the high seas in this tale of pirates and sorcerers, forbidden artifacts and ancient mysteries, in one woman’s determined quest to seize a final chance at glory—and write her own legend.

Amina al-Sirafi should be content. After a storied and scandalous career as one of the Indian Ocean’s most notorious pirates, she’s survived backstabbing rogues, vengeful merchant princes, several husbands, and one actual demon to retire peacefully with her family to a life of piety, motherhood, and absolutely nothing that hints of the supernatural.

But when she’s tracked down by the obscenely wealthy mother of a former crewman, she’s offered a job no bandit could refuse: retrieve her comrade’s kidnapped daughter for a kingly sum. The chance to have one last adventure with her crew, do right by an old friend, and win a fortune that will secure her family’s future forever? It seems like such an obvious choice that it must be God’s will.

Yet the deeper Amina dives, the more it becomes alarmingly clear there’s more to this job, and the girl’s disappearance, than she was led to believe. For there’s always risk in wanting to become a legend, to seize one last chance at glory, to savor just a bit more power…and the price might be your very soul.","Fantasy, Adventure, Fiction, Young Adult, Science fiction, LGBTQ"
258732,The Dark Tower,Michael Whelan,Fantasy,4.208520179372197,2004-09-21,845.0,"[The Dark Tower][1] VII

Roland’s ka-tet is reunited, but not without cost.  The last episode of the story takes them on the final stretch of their journey to The Dark Tower.  Though they have rescued Susannah, there are still enemies who must be dealt with along the way and who could be their ultimate destruction.  Constant readers will recognize characters from past books, who like the ka-tet, have found themselves caught in the spider's web spun bythe Crimson King? Gan?  Questions are answered and others asked. The journey is long and ka is but a wheel. 
([source][2])


  [1]: https://openlibrary.org/works/OL81600W/The_Dark_Tower_1-7
  [2]: https://stephenking.com/library/novel/dark_tower_the.html","Fantasy, Young Adult, Adventure, Science fiction, Dystopian"
969063,Evocation,S.T. Gibson,Fantasy,3.8125,2024-05-28,400.0,"As a teen, David Aristarkhov was a psychic prodigy, operating under the shadow of his oppressive occultist father. Now, years after his father’s death and rapidly approaching his thirtieth birthday, he is content with the high-powered life he’s curated as a Boston attorney, moonlighting as a powerful medium for his secret society.
 
But with power comes a price, and the Devil has come to collect on an ancestral deal. David’s days are numbered, and death looms at his door.
 
Reluctantly, he reaches out to the only person he’s ever trusted, his ex-boyfriend and secret Society rival Rhys, for help. However, the only way to get to Rhys is through his wife, Moira. Thrust into each other’s care, emotions once buried deep resurface, and the trio race to figure out their feelings for one another before the Devil steals David away for good…
 
The first book in a spellbinding and vibrant new series from The Sunday Times bestselling author of A Dowry of Blood.","Fantasy, LGBTQ"
380571,Congo,Michael Crichton,Fiction,3.329192546583851,1980-01-01,386.0,"Deep in the heart of the darkest region of the Congo, near the legendary ruins of the Lost City of Zinj, an eight-person field expedition dies mysteriously and brutally in a matter of minutes... 
--back cover","Fiction, Fantasy, Adventure, Classics, Science fiction, Mystery, General, Thriller, Suspense, Adventure stories"
614688,Monster in his eyes - In seinen Augen,J.M. Darhower,Unknown,3.6,2020-01-01,348.0,"Teil 1 der Dark Romance / Mafia Romance Trilogie der USA Today Bestseller Autorin J. M. Darhower Ignazio Vitale ist kein guter Mensch. Die Studentin Karissa Reed ahnt das schon, als sie ihn das erste Mal sieht. Den geheimnisvollen und verboten gut aussehenden Naz umgibt eine dunkle Aura. Es ist verblüffend und faszinierend zugleich, wie schnell sie ihm und seiner Art, alles zu kontrollieren, verfällt. Selbst als sie ahnt, dass er Geheimnisse hat, die sie nicht ergründen kann, zieht er sie nur noch weiter in seinen Bann. Denn die Dunkelheit in seinen Augen ist gleichermaßen erschreckend und erregend. Als die Wahrheit jedoch ans Licht kommt, möchte sie ihn hassen. Aber sie kann nicht aufhören, ihn zu lieben.",
212384,Ice,Sarah Beth Durst,Fantasy,4.25,2009-09-14,308.0,"A modern-day retelling of ""East o' the Sun, West o' the Moon"" in which eighteen-year-old Cassie learns that her grandmother's fairy tale is true when a Polar Bear King comes to claim her for his bride and she must decide whether to go with him and save her long-lost mother, or continue helping her father with his research.","Fantasy, Young Adult, Adventure"
608891,Loathe to Love You,Ali Hazelwood,Fiction,3.458333333333333,2023-01-01,330.0,"Three irresistible short stories by the global phenomenon Ali Hazelwood, now available together in paperback for the first time, with an exclusive bonus chapter. Mara, Sadie, and Hannah are friends first, scientists always. Though their fields of study might take them to different corners of the world, they can all agree on this universal truth: when it comes to love and science, opposites attract, and rivals make you burn.... Under One Roof An environmental engineer discovers that scientists should never cohabitate when she finds herself stuck with the roommate from hell - a detestable big-oil lawyer who won't leave the thermostat alone. Stuck with You A civil engineer and her nemesis take their rivalry - and love - to the next level when they get stuck in a New York elevator. Below Zero A NASA aerospace engineer's frozen heart melts as she lies injured and stranded at a remote Arctic research station and the only person willing to undertake the dangerous rescue mission is her longtime rival. Ali Hazelwood's latest novel, Love on the Brain is out now.","Fiction, Romance"
432295,The Rings of Saturn,W.G. Sebald,Classics,4.277777777777778,1995-01-01,296.0,"A fictional account of a walking tour through England's East Anglia, author W.G. Sebald's home for more than 20 years, ""The Rings of Saturn"" explores Britain's pastoral and imperial history. On the pilgrimage a company of ghosts, like conductors between the past and present, keep the narrator company.","Classics, War"
